user,login_count,after_hours_login,weekend_login,distinct_computers,files_accessed,file_copy_count,usb_connections,label,model_prediction,risk_score,risk_level,unusual_access
NGF0157,795,35,104,2,305,305,143,0,0,3,Medium,False
LRR0148,841,0,104,3,907,907,788,0,0,2,Medium,False
IRM0931,1063,25,271,2,2278,2278,505,0,0,3,Medium,False
MOH0273,401,0,53,1,9306,9306,3155,0,0,2,Medium,False
LAP0338,874,0,241,1,0,0,0,0,0,0,Low,False
MHH0180,485,0,65,1,0,0,0,0,0,0,Low,False
NOB0181,961,0,245,3,1703,1703,527,0,0,2,Medium,False
AHC0142,755,0,66,3,0,0,0,0,0,0,Low,False
CTR0341,996,78,277,3,0,0,0,0,0,1,Low,False
ATE0869,903,9,250,4,522,522,210,0,0,3,Medium,False
NWK0215,853,34,184,1,0,0,0,0,0,1,Low,False
HVB0037,403,0,52,1,0,0,0,0,0,0,Low,False
ABC0174,533,0,83,1,589,589,642,1,1,4,High,False
AJR0319,812,0,181,1,0,0,0,0,0,0,Low,False
JKJ0698,471,0,102,31,0,0,0,0,0,0,Low,False
JCR0172,723,0,98,1,406,406,170,0,0,2,Medium,False
HAD0246,1047,65,311,2,315,315,214,0,0,3,Medium,False
RRC0553,135,0,23,2,1342,1342,81,0,0,2,Medium,False
IKP0472,1016,0,287,2,812,812,519,0,0,2,Medium,False
BRS0734,110,0,17,1,1845,1845,128,0,0,2,Medium,False
HPH0075,721,0,105,1,9323,9323,3180,0,0,2,Medium,False
RZC0746,925,0,241,10,0,0,0,0,0,0,Low,False
ESJ0670,515,0,129,3,3303,3303,185,0,0,2,Medium,False
IIW0249,435,19,47,21,473,473,3375,0,0,3,Medium,False
JKF0465,420,0,64,1,0,0,0,0,0,0,Low,False
AMW0392,804,0,177,1,0,0,0,0,0,0,Low,False
HSB0196,494,12,123,1,11627,11627,3805,0,0,3,Medium,False
YIC0195,726,0,142,3,0,0,0,0,0,0,Low,False
NAH0503,465,18,52,2,0,0,0,0,0,1,Low,False
WPR0368,1735,699,325,720,0,0,0,0,0,1,Low,False
JDC0030,894,0,233,3,724,724,190,0,0,2,Medium,False
HDD0806,903,0,226,26,0,0,0,0,0,0,Low,False
AOK0844,746,16,209,15,1321,1321,407,0,0,3,Medium,False
FKK0055,856,0,213,3,601,601,172,0,0,2,Medium,False
JHP0583,853,35,111,3,1589,1589,817,0,0,3,Medium,False
RAW0915,762,0,94,28,459,459,438,0,0,2,Medium,False
SSJ0784,908,58,210,1,0,0,0,0,0,1,Low,False
FOB0756,912,0,159,2,165,165,155,0,0,2,Medium,False
CJM0521,464,0,113,1,0,0,0,0,0,0,Low,False
HLH0512,501,0,138,10,0,0,0,0,0,0,Low,False
